batch_num,portfolios,results_file
20,"['Grid_058', 'Grid_059', 'Grid_060']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_020_20251213_143656.xlsx
21,"['Grid_061', 'Grid_062', 'Grid_063']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_021_20251213_143718.xlsx
22,"['Grid_064', 'Grid_065', 'Grid_066']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_022_20251213_143740.xlsx
23,"['Grid_067', 'Grid_068', 'Grid_069']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_023_20251213_143802.xlsx
24,"['Grid_070', 'Grid_071', 'Grid_072']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_024_20251213_143826.xlsx
25,"['Grid_073', 'Grid_074', 'Grid_075']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_025_20251213_143849.xlsx
26,"['Grid_076', 'Grid_077', 'Grid_078']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_026_20251213_143913.xlsx
27,"['Grid_079', 'Grid_080', 'Grid_081']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_027_20251213_143938.xlsx
28,"['Grid_082', 'Grid_083', 'Grid_084']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_028_20251213_144002.xlsx
29,"['Grid_085', 'Grid_086', 'Grid_087']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_029_20251213_144026.xlsx
30,"['Grid_088', 'Grid_089', 'Grid_090']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_030_20251213_144050.xlsx
31,"['Grid_091', 'Grid_092', 'Grid_093']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_031_20251213_144114.xlsx
32,"['Grid_094', 'Grid_095', 'Grid_096']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_032_20251213_144138.xlsx
33,"['Grid_097', 'Grid_098', 'Grid_099']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_033_20251213_144202.xlsx
34,"['Grid_100', 'Grid_101', 'Grid_102']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_034_20251213_144226.xlsx
35,"['Grid_103', 'Grid_104', 'Grid_105']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_035_20251213_144250.xlsx
36,"['Grid_106', 'Grid_107', 'Grid_108']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_036_20251213_144314.xlsx
37,"['Grid_109', 'Grid_110', 'Grid_111']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_037_20251213_144338.xlsx
38,"['Grid_112', 'Grid_113', 'Grid_114']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_038_20251213_144402.xlsx
39,"['Grid_115', 'Grid_116', 'Grid_117']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_039_20251213_144425.xlsx
40,"['Grid_118', 'Grid_119', 'Grid_120']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_040_20251213_144448.xlsx
41,"['Grid_121', 'Grid_122', 'Grid_123']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_041_20251213_144512.xlsx
42,"['Grid_124', 'Grid_125', 'Grid_126']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_042_20251213_144535.xlsx
43,"['Grid_127', 'Grid_128', 'Grid_129']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_043_20251213_144558.xlsx
44,"['Grid_130', 'Grid_131', 'Grid_132']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_044_20251213_144622.xlsx
45,"['Grid_133', 'Grid_134', 'Grid_135']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_045_20251213_144645.xlsx
46,"['Grid_136', 'Grid_137', 'Grid_138']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_046_20251213_144708.xlsx
47,"['Grid_139', 'Grid_140', 'Grid_141']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_047_20251213_144732.xlsx
48,"['Grid_142', 'Grid_143', 'Grid_144']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_048_20251213_144755.xlsx
49,"['Grid_145', 'Grid_146', 'Grid_147']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_049_20251213_144818.xlsx
50,"['Grid_148', 'Grid_149', 'Grid_150']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_050_20251213_144841.xlsx
51,"['Grid_151', 'Grid_152', 'Grid_153']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_051_20251213_144905.xlsx
52,"['Grid_154', 'Grid_155', 'Grid_156']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_052_20251213_144928.xlsx
53,"['Grid_157', 'Grid_158', 'Grid_159']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_053_20251213_144953.xlsx
54,"['Grid_160', 'Grid_161', 'Grid_162']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_054_20251213_145016.xlsx
55,"['Grid_163', 'Grid_164', 'Grid_165']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_055_20251213_145039.xlsx
56,"['Grid_166', 'Grid_167', 'Grid_168']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_056_20251213_145103.xlsx
57,"['Grid_169', 'Grid_170', 'Grid_171']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_057_20251213_145128.xlsx
58,"['Grid_172', 'Grid_173', 'Grid_174']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_058_20251213_145152.xlsx
59,"['Grid_175', 'Grid_176', 'Grid_177']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_059_20251213_145215.xlsx
60,"['Grid_178', 'Grid_179', 'Grid_180']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_060_20251213_145239.xlsx
61,"['Grid_181', 'Grid_182', 'Grid_183']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_061_20251213_145303.xlsx
62,"['Grid_184', 'Grid_185', 'Grid_186']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_062_20251213_145327.xlsx
63,"['Grid_187', 'Grid_188', 'Grid_189']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_063_20251213_145351.xlsx
64,"['Grid_190', 'Grid_191', 'Grid_192']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_064_20251213_145414.xlsx
65,"['Grid_193', 'Grid_194', 'Grid_195']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_065_20251213_145438.xlsx
66,"['Grid_196', 'Grid_197', 'Grid_198']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_066_20251213_145502.xlsx
67,"['Grid_199', 'Grid_200', 'Grid_201']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_067_20251213_145525.xlsx
68,"['Grid_202', 'Grid_203', 'Grid_204']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_068_20251213_145549.xlsx
69,"['Grid_205', 'Grid_206', 'Grid_207']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_069_20251213_145613.xlsx
70,"['Grid_208', 'Grid_209', 'Grid_210']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_070_20251213_145639.xlsx
71,"['Grid_211', 'Grid_212', 'Grid_213']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_071_20251213_145704.xlsx
72,"['Grid_214', 'Grid_215', 'Grid_216']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_072_20251213_145729.xlsx
73,"['Grid_217', 'Grid_218', 'Grid_219']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_073_20251213_145753.xlsx
74,"['Grid_220', 'Grid_221', 'Grid_222']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_074_20251213_145816.xlsx
75,"['Grid_223', 'Grid_224', 'Grid_225']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_075_20251213_145839.xlsx
76,"['Grid_226', 'Grid_227', 'Grid_228']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_076_20251213_145904.xlsx
77,"['Grid_229', 'Grid_230', 'Grid_231']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_077_20251213_145928.xlsx
78,"['Grid_232', 'Grid_233', 'Grid_234']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_078_20251213_145952.xlsx
79,"['Grid_235', 'Grid_236', 'Grid_237']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_079_20251213_150015.xlsx
80,"['Grid_238', 'Grid_239', 'Grid_240']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_080_20251213_150039.xlsx
81,"['Grid_241', 'Grid_242', 'Grid_243']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_081_20251213_150104.xlsx
82,"['Grid_244', 'Grid_245', 'Grid_246']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_082_20251213_150126.xlsx
83,"['Grid_247', 'Grid_248', 'Grid_249']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_083_20251213_150149.xlsx
84,"['Grid_250', 'Grid_251', 'Grid_252']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_084_20251213_150211.xlsx
85,"['Grid_253', 'Grid_254', 'Grid_255']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_085_20251213_150233.xlsx
86,"['Grid_256', 'Grid_257', 'Grid_258']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_086_20251213_150255.xlsx
87,"['Grid_259', 'Grid_260', 'Grid_261']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_087_20251213_150317.xlsx
88,"['Grid_262', 'Grid_263', 'Grid_264']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_088_20251213_150340.xlsx
89,"['Grid_265', 'Grid_266', 'Grid_267']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_089_20251213_150402.xlsx
90,"['Grid_268', 'Grid_269', 'Grid_270']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_090_20251213_150424.xlsx
91,"['Grid_271', 'Grid_272', 'Grid_273']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_091_20251213_150446.xlsx
92,"['Grid_274', 'Grid_275', 'Grid_276']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_092_20251213_150509.xlsx
93,"['Grid_277', 'Grid_278', 'Grid_279']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_093_20251213_150531.xlsx
94,"['Grid_280', 'Grid_281', 'Grid_282']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_094_20251213_150554.xlsx
95,"['Grid_283', 'Grid_284', 'Grid_285']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_095_20251213_150617.xlsx
96,"['Grid_286', 'Grid_287', 'Grid_288']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_096_20251213_150641.xlsx
97,"['Grid_289', 'Grid_290', 'Grid_291']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_097_20251213_150705.xlsx
98,"['Grid_292', 'Grid_293', 'Grid_294']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_098_20251213_150728.xlsx
99,"['Grid_295', 'Grid_296', 'Grid_297']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_099_20251213_150752.xlsx
100,"['Grid_298', 'Grid_299', 'Grid_300']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_100_20251213_150816.xlsx
101,"['Grid_301', 'Grid_302', 'Grid_303']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_101_20251213_150839.xlsx
102,"['Grid_304', 'Grid_305', 'Grid_306']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_102_20251213_150902.xlsx
103,"['Grid_307', 'Grid_308', 'Grid_309']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_103_20251213_150925.xlsx
104,"['Grid_310', 'Grid_311', 'Grid_312']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_104_20251213_150947.xlsx
105,"['Grid_313', 'Grid_314', 'Grid_315']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_105_20251213_151010.xlsx
106,"['Grid_316', 'Grid_317', 'Grid_318']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_106_20251213_151032.xlsx
107,"['Grid_319', 'Grid_320', 'Grid_321']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_107_20251213_151055.xlsx
108,"['Grid_322', 'Grid_323', 'Grid_324']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_108_20251213_151117.xlsx
109,"['Grid_325', 'Grid_326', 'Grid_327']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_109_20251213_151140.xlsx
110,"['Grid_328', 'Grid_329', 'Grid_330']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_110_20251213_151202.xlsx
111,"['Grid_331', 'Grid_332', 'Grid_333']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_111_20251213_151225.xlsx
112,"['Grid_334', 'Grid_335', 'Grid_336']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_112_20251213_151247.xlsx
113,"['Grid_337', 'Grid_338', 'Grid_339']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_113_20251213_151309.xlsx
114,"['Grid_340', 'Grid_341', 'Grid_342']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_114_20251213_151332.xlsx
115,"['Grid_343', 'Grid_344', 'Grid_345']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_115_20251213_151354.xlsx
116,"['Grid_346', 'Grid_347', 'Grid_348']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_116_20251213_151417.xlsx
117,"['Grid_349', 'Grid_350', 'Grid_351']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_117_20251213_151439.xlsx
1,"['TreasuryGrid_001', 'TreasuryGrid_002', 'TreasuryGrid_003']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_001_20251214_005817.xlsx
2,"['TreasuryGrid_004', 'TreasuryGrid_005', 'TreasuryGrid_006']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_002_20251214_005844.xlsx
3,"['TreasuryGrid_007', 'TreasuryGrid_008', 'TreasuryGrid_009']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_003_20251214_005911.xlsx
4,"['TreasuryGrid_010', 'TreasuryGrid_011', 'TreasuryGrid_012']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_004_20251214_005937.xlsx
5,"['TreasuryGrid_013', 'TreasuryGrid_014', 'TreasuryGrid_015']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_005_20251214_010004.xlsx
6,"['TreasuryGrid_016', 'TreasuryGrid_017', 'TreasuryGrid_018']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_006_20251214_010030.xlsx
7,"['TreasuryGrid_019', 'TreasuryGrid_020', 'TreasuryGrid_021']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_007_20251214_010056.xlsx
8,"['TreasuryGrid_022', 'TreasuryGrid_023', 'TreasuryGrid_024']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_008_20251214_010123.xlsx
9,"['TreasuryGrid_025', 'TreasuryGrid_026', 'TreasuryGrid_027']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_009_20251214_010149.xlsx
10,"['TreasuryGrid_028', 'TreasuryGrid_029', 'TreasuryGrid_030']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_010_20251214_010217.xlsx
11,"['TreasuryGrid_031', 'TreasuryGrid_032', 'TreasuryGrid_033']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_011_20251214_010244.xlsx
12,"['TreasuryGrid_034', 'TreasuryGrid_035', 'TreasuryGrid_036']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_012_20251214_010311.xlsx
13,"['TreasuryGrid_037', 'TreasuryGrid_038', 'TreasuryGrid_039']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_013_20251214_010337.xlsx
14,"['TreasuryGrid_040', 'TreasuryGrid_041', 'TreasuryGrid_042']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_014_20251214_010403.xlsx
15,"['TreasuryGrid_043', 'TreasuryGrid_044', 'TreasuryGrid_045']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_015_20251214_010430.xlsx
16,"['TreasuryGrid_046', 'TreasuryGrid_047', 'TreasuryGrid_048']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_016_20251214_010456.xlsx
17,"['TreasuryGrid_049', 'TreasuryGrid_050', 'TreasuryGrid_051']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_017_20251214_010523.xlsx
18,"['TreasuryGrid_052', 'TreasuryGrid_053', 'TreasuryGrid_054']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_018_20251214_010549.xlsx
19,"['TreasuryGrid_055', 'TreasuryGrid_056']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_019_20251214_010612.xlsx
